"1","h-goon (현군)",\N
"2","Fukuda Shinichi",\N
"3","Sakano Anri",\N
"4","Fuse",\N
"5","Yamada Kanehito",\N
"6","Fujimoto Tatsuki",\N
"7","ONE",\N
"8","Mishima Yomu",\N
"9","Rifujin na Magonote",\N
"10","Oda Tomohito",\N
"11","Kinojo Miya",\N
"12","774 (Nanashi)",\N
"13","Baba Okina",\N
"14","Azumi Kei",\N
"15","Izumi Tomoki",\N
"16","Nishi Osamu ",\N
"17","Tanabata Satori",\N
"18","Hyuuga Natsu",\N
"19","Akutami Gege",\N
"20","Mikami Saka",\N
"21","Arai Sumiko",\N
"22","Oda Eiichirou (尾田栄一郎)",\N
"23","Nagaoka Taichi",\N
"24","Endou Tatsuya",\N
"25","Teshima Fuminori",\N
"26","Yuuji Yuuji",\N
"27","Sakurai Norio",\N
"28","HERO",\N
"29","sing N song (싱숑)",\N
"30","Kitagawa Nikita",\N
"31","Shirakome Ryo",\N
"32","Miku (美紅)",\N
"33","Kazuno Fefu",\N
"34","Kanamaru Yuki",\N
"35","Kikuchi Kousei",\N
"36","Akasaka Aka",\N
"37","Kui Ryouko",\N
"38","Yashu",\N
"39","Ise Maruno",\N
"40","Hinoura Takumi ",\N
"41","Shinozaki Kaoru",\N
"42","Katou Yuuichi",\N
"43","Kurokata",\N
"44","Kotoyama",\N
"45","Goji Shoji",\N
"46","Sansan Sun",\N
"47","Eguchi Ren",\N
"48","Ryuyu",\N
"49","Umemura Shinya",\N
