"1","Award Winning"
"2","Monsters"
"3","Action"
"4","Long Strip"
"5","Adventure"
"6","Magic"
"7","Drama"
"8","Fantasy"
"9","Web Comic"
"10","Supernatural"
"11","Adaptation"
"12","Full Color"
"13","Romance"
"14","Comedy"
"15","School Life"
"16","Slice of Life"
"17","Gyaru"
"18","Reincarnation"
"19","Demons"
"20","Martial Arts"
"21","Harem"
"22","Isekai"
"23","Samurai"
"24","Gore"
"25","Horror"
"26","Sci-Fi"
"27","Superhero"
"28","Mecha"
"29","Video Games"
"30","Villainess"
"31","Delinquents"
"32","Monster Girls"
"33","Sports"
"34","Survival"
"35","Thriller"
"36","Psychological"
"37","Ghosts"
"38","Mystery"
"39","Tragedy"
"40","Crossdressing"
"41","Historical"
"42","Medical"
"43","Girls' Love"
"44","Music"
"45","Animals"
"46","Police"
"47","Post-Apocalyptic"
"48","Time Travel"
"49","Vampires"
"50","Cooking"
"51","Loli"
"52","Sexual Violence"
